game_pk,date,season,home_team,away_team,predicted,open_total,close_total,actual_total,edge,bet,won,push,profit_units,clv,edge_bucket
633992,2021-05-24,2021,Milwaukee Brewers,San Diego Padres,8.088783727283484,7.0,7.0,8,1.0887837272834844,OVER,True,False,1.0,0.0,
633976,2021-05-24,2021,Miami Marlins,Philadelphia Phillies,8.050961957569129,7.0,7.0,15,1.050961957569129,OVER,True,False,1.0,0.0,
633963,2021-05-24,2021,Toronto Blue Jays,Tampa Bay Rays,11.521923528308877,10.5,10.5,22,1.0219235283088768,OVER,True,False,1.0,0.0,
633951,2021-05-25,2021,Chicago White Sox,St. Louis Cardinals,9.073866353626258,8.0,8.0,11,1.0738663536262578,OVER,True,False,1.0,0.0,
633965,2021-05-25,2021,Washington Nationals,Cincinnati Reds,8.849395261402137,7.5,7.5,3,1.3493952614021367,OVER,False,False,-1.1,0.0,
633939,2021-05-26,2021,Arizona Diamondbacks,San Francisco Giants,8.1078333717537,8.5,9.0,9,-0.8921666282463008,UNDER,False,True,0.0,-0.5,0-0.5
633927,2021-05-26,2021,Milwaukee Brewers,San Diego Padres,8.796804891223914,8.0,8.0,3,0.7968048912239141,OVER,False,False,-1.1,0.0,
633993,2021-05-26,2021,Boston Red Sox,Atlanta Braves,9.630479322071082,9.5,11.0,14,-1.369520677928918,UNDER,False,False,-1.1,-1.5,1.0-1.5
634064,2021-05-26,2021,Tampa Bay Rays,Kansas City Royals,8.412540898914344,7.5,7.0,3,1.4125408989143438,OVER,False,False,-1.1,-0.5,0-0.5
633971,2021-05-26,2021,Chicago White Sox,St. Louis Cardinals,9.570574269886023,8.5,8.5,4,1.0705742698860234,OVER,False,False,-1.1,0.0,
633928,2021-05-26,2021,Minnesota Twins,Baltimore Orioles,9.775255666370398,9.5,8.5,5,1.2752556663703984,OVER,False,False,-1.1,-1.0,0.5-1.0
633924,2021-05-27,2021,Chicago White Sox,Baltimore Orioles,9.453654752368934,9.0,8.5,6,0.9536547523689336,OVER,False,False,-1.1,-0.5,0-0.5
633910,2021-05-27,2021,New York Yankees,Toronto Blue Jays,8.262007222766883,7.0,7.0,8,1.2620072227668828,OVER,True,False,1.0,0.0,
633910,2021-05-27,2021,New York Yankees,Toronto Blue Jays,8.262007222766883,7.0,7.0,8,1.2620072227668828,OVER,True,False,1.0,0.0,
633974,2021-05-27,2021,New York Yankees,Toronto Blue Jays,7.975584016437537,7.0,7.0,2,0.9755840164375371,OVER,False,False,-1.1,0.0,
633974,2021-05-27,2021,New York Yankees,Toronto Blue Jays,7.975584016437537,7.0,7.0,2,0.9755840164375371,OVER,False,False,-1.1,0.0,
633937,2021-05-27,2021,Milwaukee Brewers,San Diego Padres,9.490593419666297,8.0,8.0,11,1.4905934196662969,OVER,True,False,1.0,0.0,
633888,2021-05-27,2021,Pittsburgh Pirates,Chicago Cubs,8.773827062244422,8.0,7.5,8,1.2738270622444219,OVER,True,False,1.0,-0.5,0-0.5
633957,2021-05-27,2021,Miami Marlins,Philadelphia Phillies,8.384767041797645,7.0,7.0,5,1.3847670417976445,OVER,False,False,-1.1,0.0,
633912,2021-05-27,2021,New York Mets,Colorado Rockies,7.451785550708777,5.5,6.0,6,1.4517855507087774,OVER,False,True,0.0,0.5,0-0.5
633915,2021-05-27,2021,Tampa Bay Rays,Kansas City Royals,8.49374245225907,7.5,7.5,9,0.9937424522590703,OVER,True,False,1.0,0.0,
633997,2021-05-28,2021,Seattle Mariners,Texas Rangers,9.79267929613114,9.0,8.5,5,1.2926792961311406,OVER,False,False,-1.1,-0.5,0-0.5
633918,2021-05-28,2021,Houston Astros,San Diego Padres,9.117912755603797,8.5,8.0,13,1.1179127556037969,OVER,True,False,1.0,-0.5,0-0.5
633961,2021-05-28,2021,Detroit Tigers,New York Yankees,7.835695729846961,7.0,7.0,5,0.8356957298469609,OVER,False,False,-1.1,0.0,
633932,2021-05-28,2021,Minnesota Twins,Kansas City Royals,9.896015630359656,8.5,9.0,11,0.8960156303596563,OVER,True,False,1.0,0.5,0-0.5
633874,2021-05-29,2021,Houston Astros,San Diego Padres,9.006211743946082,8.0,8.0,19,1.006211743946082,OVER,True,False,1.0,0.0,
633913,2021-05-29,2021,Arizona Diamondbacks,St. Louis Cardinals,11.381369100208287,10.0,10.0,11,1.3813691002082873,OVER,True,False,1.0,0.0,
633947,2021-05-29,2021,Seattle Mariners,Texas Rangers,9.862250791187291,8.5,8.5,5,1.3622507911872912,OVER,False,False,-1.1,0.0,
633949,2021-05-29,2021,Detroit Tigers,New York Yankees,7.670581327075965,8.5,8.5,7,-0.8294186729240351,UNDER,True,False,1.0,-0.0,
633903,2021-05-29,2021,Boston Red Sox,Miami Marlins,8.422506795520789,8.5,7.5,4,0.9225067955207891,OVER,False,False,-1.1,-1.0,0.5-1.0
633923,2021-05-30,2021,Los Angeles Dodgers,San Francisco Giants,7.985391603107459,7.5,7.0,9,0.985391603107459,OVER,True,False,1.0,-0.5,0-0.5
633942,2021-05-30,2021,Houston Astros,San Diego Padres,9.85737656175614,8.5,8.5,11,1.3573765617561406,OVER,True,False,1.0,0.0,
633900,2021-05-31,2021,Kansas City Royals,Pittsburgh Pirates,8.78937576829911,8.5,8.0,10,0.7893757682991094,OVER,True,False,1.0,-0.5,0-0.5
633849,2021-05-31,2021,Seattle Mariners,Oakland Athletics,7.040558801288611,8.5,8.5,11,-1.4594411987113887,UNDER,False,False,-1.1,-0.0,
633891,2021-06-01,2021,Kansas City Royals,Pittsburgh Pirates,9.339098439807898,8.0,8.5,15,0.8390984398078984,OVER,True,False,1.0,0.5,0-0.5
633878,2021-06-01,2021,Milwaukee Brewers,Detroit Tigers,8.574392781848914,8.0,7.5,17,1.074392781848914,OVER,True,False,1.0,-0.5,0-0.5
633863,2021-06-01,2021,Atlanta Braves,Washington Nationals,9.865235791797645,8.0,8.5,17,1.3652357917976445,OVER,True,False,1.0,0.5,0-0.5
633868,2021-06-01,2021,Cincinnati Reds,Philadelphia Phillies,8.986936078662879,7.0,7.5,20,1.486936078662879,OVER,True,False,1.0,0.5,0-0.5
633883,2021-06-02,2021,Atlanta Braves,Washington Nationals,10.708409772510535,9.5,9.5,8,1.2084097725105352,OVER,False,False,-1.1,0.0,
633834,2021-06-02,2021,Arizona Diamondbacks,New York Mets,9.699116216297156,8.5,8.5,13,1.1991162162971563,OVER,True,False,1.0,0.0,
633823,2021-06-03,2021,San Francisco Giants,Chicago Cubs,9.172476277942664,8.0,8.0,9,1.172476277942664,OVER,True,False,1.0,0.0,
633832,2021-06-03,2021,Los Angeles Angels,Seattle Mariners,10.431105123157508,8.5,9.0,8,1.4311051231575078,OVER,False,False,-1.1,0.5,0-0.5
633859,2021-06-03,2021,Chicago White Sox,Detroit Tigers,9.079190717334754,8.0,8.0,5,1.079190717334754,OVER,False,False,-1.1,0.0,
633833,2021-06-03,2021,Kansas City Royals,Minnesota Twins,10.238484845752724,9.0,9.0,11,1.2384848457527244,OVER,True,False,1.0,0.0,
633846,2021-06-04,2021,Milwaukee Brewers,Arizona Diamondbacks,9.420070157642373,8.0,8.0,6,1.4200701576423729,OVER,False,False,-1.1,0.0,
633816,2021-06-04,2021,San Diego Padres,New York Mets,8.743757711048133,7.5,7.5,2,1.2437577110481328,OVER,False,False,-1.1,0.0,
633840,2021-06-04,2021,Chicago White Sox,Detroit Tigers,7.659186349506385,8.5,8.5,17,-0.8408136504936152,UNDER,False,False,-1.1,-0.0,
633862,2021-06-04,2021,Philadelphia Phillies,Washington Nationals,8.153984532947547,6.5,7.0,3,1.1539845329475469,OVER,False,False,-1.1,0.5,0-0.5
