game_pk,date,season,home_team,away_team,predicted,open_total,close_total,actual_total,edge,bet,won,push,profit_units,clv,edge_bucket
633408,2021-07-04,2021,Toronto Blue Jays,Tampa Bay Rays,8.683677474547245,9.5,10.0,6,-1.3163225254527546,UNDER,True,False,1.0,-0.5,0-0.5
633423,2021-07-04,2021,Atlanta Braves,Miami Marlins,7.137347365653942,9.0,8.5,15,-1.362652634346058,UNDER,False,False,-1.1,0.5,0-0.5
633363,2021-07-05,2021,Kansas City Royals,Cincinnati Reds,9.40198763891933,10.0,10.5,8,-1.09801236108067,UNDER,True,False,1.0,-0.5,0-0.5
633386,2021-07-05,2021,Chicago Cubs,Philadelphia Phillies,9.90755151569532,10.5,11.0,16,-1.0924484843046791,UNDER,False,False,-1.1,-0.5,0-0.5
633362,2021-07-07,2021,San Diego Padres,Washington Nationals,8.868363782928514,8.5,8.0,20,0.8683637829285136,OVER,True,False,1.0,-0.5,0-0.5
633349,2021-07-07,2021,Texas Rangers,Detroit Tigers,8.770731982762973,8.0,8.0,8,0.7707319827629728,OVER,False,True,0.0,0.0,
633343,2021-07-08,2021,San Diego Padres,Washington Nationals,8.282844079290717,6.5,7.0,17,1.282844079290717,OVER,True,False,1.0,0.5,0-0.5
633357,2021-07-09,2021,Boston Red Sox,Philadelphia Phillies,10.6473971051254,10.5,11.5,16,-0.8526028948746003,UNDER,False,False,-1.1,-1.0,0.5-1.0
633301,2021-07-10,2021,San Diego Padres,Colorado Rockies,8.548136507107236,7.5,7.5,3,1.0481365071072357,OVER,False,False,-1.1,0.0,
633295,2021-07-10,2021,New York Mets,Pittsburgh Pirates,7.229831369092562,5.5,6.0,8,1.2298313690925617,OVER,True,False,1.0,0.5,0-0.5
633297,2021-07-11,2021,Texas Rangers,Oakland Athletics,8.804836385710104,8.5,8.0,5,0.8048363857101037,OVER,False,False,-1.1,-0.5,0-0.5
633346,2021-07-16,2021,Pittsburgh Pirates,New York Mets,9.791820635241177,7.5,8.5,5,1.2918206352411765,OVER,False,False,-1.1,1.0,0.5-1.0
633299,2021-07-17,2021,Philadelphia Phillies,Miami Marlins,10.62059448564712,9.0,9.5,6,1.1205944856471195,OVER,False,False,-1.1,0.5,0-0.5
633300,2021-07-18,2021,Washington Nationals,San Diego Padres,9.284854305437518,8.0,8.0,15,1.284854305437518,OVER,True,False,1.0,0.0,
633292,2021-07-18,2021,Toronto Blue Jays,Texas Rangers,9.415433248178362,8.0,8.0,10,1.4154332481783616,OVER,True,False,1.0,0.0,
633218,2021-07-19,2021,Toronto Blue Jays,Boston Red Sox,9.432139470358456,10.5,10.5,17,-1.0678605296415444,UNDER,False,False,-1.1,-0.0,
633230,2021-07-20,2021,St. Louis Cardinals,Chicago Cubs,8.238888858994848,9.0,9.0,13,-0.7611111410051521,UNDER,False,False,-1.1,-0.0,
633209,2021-07-24,2021,Minnesota Twins,Los Angeles Angels,8.056461396254967,9.0,9.0,3,-0.9435386037450328,UNDER,True,False,1.0,-0.0,
633201,2021-07-24,2021,Kansas City Royals,Detroit Tigers,8.682773566009802,10.0,10.0,17,-1.3172264339901982,UNDER,False,False,-1.1,-0.0,
633198,2021-07-25,2021,Boston Red Sox,New York Yankees,9.59382381099956,10.5,10.5,9,-0.9061761890004405,UNDER,True,False,1.0,-0.0,
633145,2021-07-26,2021,New York Mets,Atlanta Braves,7.852704710355442,7.0,6.5,2,1.3527047103554422,OVER,False,False,-1.1,-0.5,0-0.5
633150,2021-07-27,2021,Texas Rangers,Arizona Diamondbacks,9.779959870891307,8.5,8.5,9,1.2799598708913074,OVER,True,False,1.0,0.0,
633143,2021-07-27,2021,Tampa Bay Rays,New York Yankees,8.847498404688825,8.5,7.5,7,1.3474984046888245,OVER,False,False,-1.1,-1.0,0.5-1.0
633114,2021-07-28,2021,Kansas City Royals,Chicago White Sox,8.818029413828263,9.5,10.0,5,-1.1819705861717367,UNDER,True,False,1.0,-0.5,0-0.5
633148,2021-07-28,2021,New York Mets,Atlanta Braves,8.369548965119316,8.0,7.5,3,0.869548965119316,OVER,False,False,-1.1,-0.5,0-0.5
633130,2021-07-28,2021,Los Angeles Angels,Colorado Rockies,9.835863658204769,9.0,9.0,15,0.8358636582047687,OVER,True,False,1.0,0.0,
633162,2021-07-28,2021,Boston Red Sox,Toronto Blue Jays,9.369967268714683,8.5,8.5,5,0.8699672687146833,OVER,False,False,-1.1,0.0,
633093,2021-07-29,2021,Pittsburgh Pirates,Milwaukee Brewers,9.420476333881291,8.0,8.0,12,1.4204763338812914,OVER,True,False,1.0,0.0,
633124,2021-07-29,2021,Chicago Cubs,Cincinnati Reds,8.096264180820748,7.0,7.0,11,1.0962641808207483,OVER,True,False,1.0,0.0,
